Title,URL,Type,Description
"TechChat Tuesdays #59: Project Valhalla, Sandpack 2.0, and Developing Cross-Platform Apps",https://chariotsolutions.com/podcast/techchat-tuesdays-59-project-valhalla-sandpack-2-0-and-developing-cross-platform-apps/,Podcast,"Ken Rimple and Sujan Kapadia discuss Valhalla, Sandpack 2.0 - 1:04:06"
"TechChat Tuesdays #56: Context switching and scaling Mastodon",https://chariotsolutions.com/podcast/techchat-tuesdays-56-the-cloudy-layers-of-modern-programming-context-switching-and-scaling-mastodon/,Podcast,"Programming layers, context switching, Mastodon scaling - 55:57"
"TechChat Tuesdays #53: Boycotting Wayland, and banishing the leap second",https://chariotsolutions.com/podcast/techchat-tuesdays-53-boycotting-wayland-and-banishing-the-leap-second/,Podcast,"Ken Rimple and Sujan Kapadia - 44:44"
"TechChat Tuesdays #47: Dev News Ultra",https://chariotsolutions.com/podcast/techchat-tuesdays-47-dev-news-ultra/,Podcast,"Development news briefs, Apple events - 43:04"
"TechChat Tuesdays #46: Dev News and Kotlin Deep Dive",https://chariotsolutions.com/podcast/techchat-tuesdays-46-dev-news-and-kotlin-deep-dive/,Podcast,"Development news and Kotlin exploration - 1:19:37"
"TechChat Tuesdays #45: How do we learn new things?",https://chariotsolutions.com/podcast/techchat-tuesdays-45-how-do-we-learn-new-things/,Podcast,"Personal processes around learning new tech - 57:33"
"TechChat Tuesdays #44: Dev News Grab Bag",https://chariotsolutions.com/podcast/techchat-tuesdays-44-dev-news-grab-bag/,Podcast,"Tesla UX, Wordle, OS X 12.2 - 42:06"
"TechChat Tuesdays #43: Dev News, SPA Patterns, and Kent C. Dodds Interview",https://chariotsolutions.com/podcast/techchat-tuesdays-43-dev-news-spa-patterns-and-an-exclusive-interview-with-kent-c-dodds/,Podcast,"Interview with Kent C. Dodds, Director of Developer Experience at Remix - 1:30:50"
"TechChat Tuesdays #41: Tetris in ClojureScript, Terraform 1.0, and Slack hackers",https://chariotsolutions.com/podcast/techchat-tuesdays-41-tetris-in-clojurescript-terraform-1-0-and-slack-hackers/,Podcast,"Security concerns, Terraform updates - 35:52"
"TechChat Tuesdays #40: Chip Shortages, SolarWinds Hackers, and Google I/O Recap",https://chariotsolutions.com/podcast/techchat-tuesdays-40-chip-shortages-solarwinds-hackers-and-a-google-i-o-recap/,Podcast,"Intel chip shortage, SolarWinds security, Google I/O 2021 - 36:10"
"TechChat Tuesdays #39: Scala 3, Pair Programming, and Windows/Apple Rivalry",https://chariotsolutions.com/podcast/techchat-tuesdays-39-scala-3-pair-programming-and-a-rekindled-windows-apple-rivalry/,Podcast,"Ken Rimple and Sujan Kapadia - 40:38"
"TechChat Tuesdays #38: Apple's 'Spring Loaded' Recap",https://chariotsolutions.com/podcast/techchat-tuesdays-38-apples-spring-loaded-recap-and-more/,Podcast,"Ken Rimple and Sujan Kapadia - 42:07"
"TechChat Tuesdays #37: OpenSearch, Rust News, and the Rails of React",https://chariotsolutions.com/podcast/techchat-tuesdays-37-opensearch-rust-rails-of-react/,Podcast,"Sujan Kapadia and Ken Rimple - 44:18"
"TechChat Tuesdays #36: Django 3.2, TP Robots, and New Jersey?",https://chariotsolutions.com/podcast/techchat-tuesdays-36-django-3-2-tp-robots-and-new-jersey/,Podcast,"Host: Sujan Kapadia (Ken Rimple absent) - 54:24"
"TechChat Tuesdays #35: Nivo, DALL-E and NPM Vulnerabilities",https://chariotsolutions.com/podcast/techchat-tuesdays-35-nivo-dall-e-npm-vulnerabilities/,Podcast,"Machine learning, data visualization, OSI model - 56:16"
"TechChat Tuesdays #34: JDK, NFTs, and ERC-721",https://chariotsolutions.com/podcast/techchat-tuesdays-34-jdk-nfts-and-erc-721/,Podcast,"Host: Sujan Kapadia - 30:33"
"TechChat Tuesdays #33: Rust, Rust-based Utilities, and Security with Jason Stelzer",https://chariotsolutions.com/podcast/techchat-tuesdays-33-rust-rust-based-utilities-and-security-with-jason-stelzer/,Podcast,"Ken Rimple, Sujan Kapadia, and Jason Stelzer - 46:01"
"TechChat Tuesdays #32: Git for Data, and ASCIIDoctor Tooling",https://chariotsolutions.com/podcast/techchat-tuesdays-32-git-data-asciidoctor-tooling/,Podcast,"Git for data, Microsoft Mesh, ASCIIDoctor - 51:20"
"TechChat Tuesdays #31: Python Turns 30, and Chrome 90",https://chariotsolutions.com/podcast/techchat-tuesdays-31-this-week-in-dev-news/,Podcast,"Python 30th anniversary, Chrome 90, tech naming conventions"
"TechChat Tuesdays #30: The Mars Landing, and more",https://chariotsolutions.com/podcast/techchat-tuesdays-30-the-mars-landing-and-more/,Podcast,"Mars landing, software laws, cryptocurrency mining"
"TechChat Tuesdays #29: Rust, Radical Candor, and more",https://chariotsolutions.com/podcast/techchat-tuesdays-29-rust-radical-candor/,Podcast,"Rust, Radical Candor, virtual jam sessions"
"TechChat Tuesdays #28: TensorFlow with Rich Freedman",https://chariotsolutions.com/podcast/techchat-tuesdays-28-tensorflow-rich-freedman/,Podcast,"Sujan hosts - machine learning, TensorFlow, Arduino projects"
"TechChat Tuesdays #27: This Week in Dev News",https://chariotsolutions.com/podcast/techchat-tuesdays-27-this-week-in-dev-news/,Podcast,"CockroachDB spatial indexing, TinyML, Maven daemon"
"TechChat Tuesdays #26: Android Development with Joe Berger",https://chariotsolutions.com/podcast/techchat-tuesdays-26-android-development-with-joe-berger/,Podcast,"Interview with Chariot's Android developer Joe Berger"
"TechChat Tuesdays #25: This Week in Dev News",https://chariotsolutions.com/podcast/techchat-tuesdays-25-this-week-in-dev-news/,Podcast,"Ken Rimple and Becca discuss development news"
"TechChat Tuesdays #24: This Week in Dev News",https://chariotsolutions.com/podcast/techchat-tuesdays-24-this-week-in-dev-news/,Podcast,"AWS Lambda, Ruby 3.0, M1 discussions, Apple store closures, LISP"
"TechChat Tuesdays #23: This Week in Dev News",https://chariotsolutions.com/podcast/techchat-tuesdays-23-this-week-in-devnews/,Podcast,"CockroachDB spatial indexing, TinyML, Maven daemon"
"TechChat Tuesdays #22: AWS re:Invent Happenings",https://chariotsolutions.com/podcast/techchat-tuesdays-22-aws-reinvent-announcements-news/,Podcast,"AWS re:Invent news, tools, and announcements"
"TechChat Tuesdays #21: Post-Mortem Review of the AWS Outage with Keith Gregory",https://chariotsolutions.com/podcast/techchat-tuesdays-21-post-mortem-review-of-the-aws-outage-with-keith-gregory-aws-practice-lead/,Podcast,"Root causes of AWS outage - 44:06"
"TechChat Tuesdays #20: From There To Here",https://chariotsolutions.com/podcast/techchat-tuesdays-20-from-there-to-here/,Podcast,"Computing innovation from Zilog through Apple M1 - 55:28"
"TechChat Tuesdays #19: Special Guest Eric Snyder",https://chariotsolutions.com/podcast/techchat-tuesdays-19-special-guest-eric-snyder/,Podcast,"Eric, Ken and Sujan bring dev topics to livestream - 43:39"
"TechChat Tuesdays #18: Dev News with Sujan Kapadia",https://chariotsolutions.com/podcast/techchat-tuesdays-18-dev-news-with-sujan-kapadia/,Podcast,"Development topics with Sujan Kapadia as special guest - 53:48"
"TechCast #99: James Roper on Scala",https://chariotsolutions.com/podcast/techcast-99-james-roper-scala/,Podcast,"Sujan Kapadia talks to James Roper about Scala"
"TechCast #98: Adriaan Moors on Scala",https://chariotsolutions.com/podcast/techcast-98-adriaan-moors-scala/,Podcast,"Sujan interviews Adriaan Moors, Scala Tech Lead at Lightbend"
"TechCast #97: Heather Miller on Scala",https://chariotsolutions.com/podcast/techcast-97-heather-miller-scala/,Podcast,"Sujan and Ken speak with Heather Miller, Executive Director of Scala Center"
"TechCast #96: Philly ETE Happy Hour Chat",https://chariotsolutions.com/podcast/techcast-96-philly-ete-happy-hour-chat/,Podcast,"Ken and Sujan discuss tech news with five Philly ETE speakers"
"TechCast #95: Doc Norton on Agile Metrics",https://chariotsolutions.com/podcast/techcast-95-doc-norton-agile-metrics-velocity-not-goal/,Podcast,"Agile Metrics: Velocity is NOT the Goal"
"TechCast #94: Luke Wagner on WebAssembly",https://chariotsolutions.com/podcast/techcast-94-luke-wagner-webassembly/,Podcast,"Mozilla research engineer on WebAssembly development"
"TechCast #93: Ari Lerner on Angular 2",https://chariotsolutions.com/podcast/techcast-93-ari-lerner-angular-2/,Podcast,"TypeScript, observables, and Angular 2 adoption"
"TechCast #79: Sujan Kapadia and Ken Rimple talk about OSCON 2013",https://chariotsolutions.com/podcast/techcast-79-chariots-sujan-kapadia-and-ken-rimple-talk-about-oscon-2013/,Podcast,"Conversation about Sujan's attendance at OSCON 2013 - 21:05"
"DevNews #102: TACO, terrible testing, and party comets",https://chariotsolutions.com/podcast/devnews-102-taco-terrible-testing-party-comets/,Podcast,"Sujan Kapadia and Eric Snyder recap weekly tech news"
"DevNews #97: Day 1 of Philly ETE 2015",https://chariotsolutions.com/podcast/devnews-97-day-1-philly-ete-2015/,Podcast,"Michael Pigg and Sujan Kapadia discuss opening day of ETE"
"DevNews #85: Recording in front of large ETE audience",https://chariotsolutions.com/podcast/devnews-85-record-front-large-ete-audience-news-ensues/,Podcast,"Tech talk surrounded by all people tech"
"DevNews #76: HAML-esque JS templates",https://chariotsolutions.com/podcast/devnews-76-haml-esque-js-templates-monitor-400-whats-world-coming/,Podcast,"JavaScript templates, hardware discussion - 33:31"
"DevNews #70: Droids and flying robots taking over the world and Scala.JS",https://chariotsolutions.com/podcast/devnews-70-droids-and-flying-robots-taking-over-the-world-and-scala-js/,Podcast,"Robotics, cryptocurrency, JavaScript innovations - 32:43"
"DevNews #65: Apple's patent for touching glass with fingers is upheld?",https://chariotsolutions.com/podcast/devnews-65-apples-patent-for-touching-glass-with-fingers-is-upheld/,Podcast,"32:02"
"DevNews #60: Somebody buy Joel a Furby",https://chariotsolutions.com/podcast/devnews-60-somebody-buy-joel-a-furby/,Podcast,"Sujan, Ken, and Joel discuss new Apple iPhones - 34:07"
"DevNews #58: The London Eye – of Sauron",https://chariotsolutions.com/podcast/devnews-58-the-london-eye-of-sauron/,Podcast,"34:18"
